^13443^;^1120;11082;8451;8392;8249;390;2560;8486;2820;11115;1014;1770;1742;1745;13390^
^8352^;^8489;1143;11183;8262;11093;1324;1467;10050;8155;11094;13369;2142;1769;8409;1466^
^8353^;^2037;8131;8451;11189;14681;2765;8118;8358;13389;13399;4658;8147;1092;8457;10037^
^8344^;^2139;8460;8520;8458;9946;8158;2834;8483;10052;8483;13388;1814;14637;8455;1848^
^8350^;^8547;8106;4718;1478;8562;9990;11031;14651;8251;1833;11204;8558;8123;1501;2191^
^8340^;^8104;12752;8540;13404;1340;3210;9995;12723;8388;12754;1679;21;11179;14658;1138^
^8338^;^2189;8478;13398;1073;8104;2683;11034;8316;8335;4412;11060;8642;1506;1139;9950^
^8339^;^14658;13388;1000;14651;8531;4653;10045;2821;13474;8284;8473;13377;8359;12751;1086^
^8397^;^8418;592;1738;9993;8340;8473;13389;8514;10025;10013;545;1141;10046;3649;8501^
^8342^;^8292;13417;8289;14680;12728;9951;1467;8501;8458;8098;14761;1737;4648;1469;14681^
^8343^;^9969;9988;1323;620;31;8406;1914;10037;1023;8644;2188;3203;13601;8110;30^
^2828^;^8286;1124;10088;612;14695;8511;2821;1144;1794;1484;1459;2296;8530;8135;8354^
^8347^;^10028;1674;1508;8734;4474;13134;13595;10032;10047;8182;8157;10092;3903;1455;4665^
^8346^;^1010;14715;8552;1485;1740;1015;8136;4658;8133;2844;8121;11110;956;2037;9951^
^8354^;^11049;8529;12750;1768;8433;2296;14659;2691;8410;548;14680;3609;1738;10049;1017^
^8355^;^8127;1738;12760;8155;8460;593;1510;1473;11102;638;10002;11103;617;8549;163^
^8341^;^592;1138;9985;10065;221;8189;8559;8265;8486;8335;11086;1825;8454;14648;4613^
^8349^;^8308;8382;4529;12760;11079;1501;12683;14651;8450;1065;1794;13375;1802;8729;12747^
^8348^;^9959;10064;10091;4653;1007;2682;1847;1074;9995;13610;14715;1679;1073;8354;8360^
^8244^;^13610;4013;9966;8253;13473;8292;10058;8373;1771;8255;9979;1759;1446;9980;1119^
^8242^;^8509;9975;2765;8531;607;13616;8404;11102;1480;13374;1334;8490;1749;8139;3650^
^8476^;^8285;1021;1522;8404;9954;1822;8418;1448;1785;14694;8347;13432;2561;11193;2844^
