^13384^;^8^;^163.9^
^586^;^8^;^465.9^
^1006^;^63^;^11.9^
^11094^;^5^;^9.9^
^11095^;^2^;^9.9^
^8098^;^0^;^5.9^
^11192^;^0^;^11.9^
^1506^;^11^;^10.9^
^1488^;^11^;^6.9^
^1489^;^5^;^6.9^
^1503^;^12^;^6.9^
^1502^;^8^;^6.9^
^1500^;^8^;^6.9^
^1490^;^12^;^11.9^
^1498^;^9^;^6.9^
^1900^;^15^;^3.9^
^1892^;^12^;^3.9^
^1509^;^16^;^17.9^
^1499^;^13^;^6.9^
^1492^;^13^;^6.9^
^1765^;^13^;^6.9^
^10091^;^3^;^6.9^
^10090^;^2^;^6.9^
^10092^;^3^;^6.9^
^4474^;^11^;^7.9^
^8182^;^11^;^12.9^
^8179^;^10^;^13.9^
^8172^;^2^;^22.9^
^8171^;^13^;^10.9^
^8180^;^9^;^13.9^
^8320^;^17^;^6.9^
^8508^;^2^;^52.9^
^8455^;^19^;^13.9^
^8458^;^5^;^37.9^
^8456^;^0^;^5.9^
^8507^;^1^;^73.9^
^8450^;^28^;^3.9^
^8451^;^17^;^10.9^
^8426^;^20^;^8.9^
^8311^;^54^;^4.9^
^8312^;^12^;^14.9^
^1360^;^15^;^14.9^
^1361^;^6^;^47.9^
^8119^;^81^;^13.9^
^626^;^52^;^12.9^
^2692^;^17^;^52.9^
^13390^;^100^;^12.9^
^13588^;^10^;^11.9^
^13589^;^3^;^46.9^
^1005^;^60^;^12.9^
^2845^;^52^;^39.9^
^13598^;^25^;^44.9^
^13379^;^3^;^163.9^
^14690^;^72^;^36.9^
^13384^;^5^;^163.9^
^13386^;^4^;^480.9^
^586^;^7^;^465.9^
^1008^;^2^;^11.9^
^996^;^0^;^8.9^
^13603^;^9^;^44.9^
^13608^;^49^;^44.9^
^4838^;^84^;^35.9^
^2766^;^27^;^55.9^
^2694^;^3^;^135.9^
^589^;^3^;^407.9^
^13411^;^24^;^5.9^
^13413^;^9^;^24.9^
^982^;^51^;^11.9^
^3210^;^64^;^6.9^
^163^;^27^;^25.9^
^13618^;^37^;^35.9^
^13375^;^2^;^249.9^
^13377^;^100^;^65.9^
^13404^;^32^;^5.9^
^13409^;^21^;^24.9^
^1039^;^66^;^8.9^
^4657^;^0^;^59.9^
^532^;^16^;^10.9^
^951^;^12^;^257.9^
^546^;^85^;^26.9^
^952^;^2^;^78.9^
^549^;^50^;^5.9^
^550^;^50^;^21.9^
^1462^;^8^;^57.9^
^1460^;^45^;^16.9^
^607^;^0^;^61.9^
^1467^;^1^;^52.9^
^1466^;^96^;^14.9^
^1389^;^22^;^9.9^
^8383^;^60^;^2.9^
^8391^;^63^;^2.9^
^8329^;^78^;^1.9^
^8335^;^87^;^2.9^
^8378^;^73^;^1.9^
^11191^;^78^;^2.9^
^8381^;^5^;^1.9^
^8330^;^100^;^2.9^
^8398^;^73^;^1.9^
^8331^;^100^;^2.9^
^8380^;^56^;^1.9^
^8387^;^100^;^1.9^
^8377^;^100^;^2.9^
^8388^;^54^;^1.9^
^8358^;^89^;^1.9^
^8359^;^76^;^3.9^
^8360^;^19^;^5.9^
^8357^;^100^;^2.9^
^8356^;^100^;^2.9^
^14714^;^5^;^14.9^
^14715^;^3^;^14.9^
^11087^;^3^;^28.9^
^11076^;^3^;^36.9^
^11083^;^3^;^36.9^
^11078^;^2^;^36.9^
^8407^;^14^;^30.9^
^8406^;^30^;^16.9^
^8107^;^37^;^31.9^
^8405^;^77^;^8.9^
^8563^;^4^;^92.9^
^12752^;^3^;^38.9^
^12753^;^6^;^40.9^
^8376^;^100^;^3.9^
^1080^;^13^;^8.9^
^1077^;^18^;^9.9^
^1081^;^0^;^7.9^
^1078^;^9^;^7.9^
^1096^;^26^;^16.9^
^1076^;^15^;^7.9^
^1079^;^7^;^5.9^
^1092^;^16^;^31.9^
^620^;^12^;^5.9^
^1087^;^16^;^6.9^
^1089^;^10^;^8.9^
^1098^;^12^;^17.9^
^1344^;^10^;^25.9^
^1097^;^7^;^22.9^
^1339^;^5^;^14.9^
^1088^;^9^;^7.9^
^8325^;^42^;^14.9^
^8324^;^50^;^13.9^
^8399^;^56^;^26.9^
^8100^;^100^;^7.9^
^8326^;^89^;^13.9^
^8401^;^35^;^26.9^
^8104^;^77^;^7.9^
^8106^;^91^;^7.9^
^8403^;^23^;^47.9^
^1074^;^28^;^15.9^
^1065^;^13^;^21.9^
^1072^;^9^;^7.9^
^1068^;^15^;^8.9^
^1070^;^9^;^17.9^
^619^;^15^;^8.9^
^1067^;^6^;^12.9^
^1324^;^13^;^16.9^
^1069^;^7^;^12.9^
^1094^;^7^;^30.9^
^1343^;^14^;^29.9^
^1342^;^11^;^25.9^
^8548^;^6^;^41.9^
^8542^;^5^;^38.9^
^8553^;^3^;^140.9^
^8561^;^3^;^145.9^
^8126^;^9^;^18.9^
^8139^;^5^;^13.9^
^8141^;^10^;^14.9^
^8123^;^8^;^15.9^
^8157^;^11^;^13.9^
^8121^;^7^;^12.9^
^8131^;^6^;^17.9^
^8120^;^11^;^12.9^
^8152^;^5^;^19.9^
^8154^;^3^;^9.9^
^8156^;^20^;^18.9^
^8124^;^10^;^13.9^
^8150^;^8^;^22.9^
^8127^;^7^;^13.9^
^8130^;^12^;^15.9^
^8158^;^9^;^19.9^
^8153^;^7^;^8.9^
^11050^;^2^;^169.9^
^8352^;^100^;^4.9^
^8353^;^100^;^5.9^
^8350^;^100^;^2.9^
^8339^;^100^;^2.9^
^8346^;^65^;^1.9^
^8354^;^71^;^4.9^
^8243^;^29^;^21.9^
^8266^;^32^;^14.9^
^8271^;^30^;^4.9^
^8478^;^6^;^56.9^
^8272^;^70^;^13.9^
^8275^;^16^;^3.9^
^8479^;^12^;^51.9^
^8276^;^28^;^11.9^
^8270^;^1^;^598.9^
^8269^;^52^;^59.9^
^8115^;^10^;^175.9^
^8258^;^32^;^31.9^
^8257^;^98^;^17.9^
^8280^;^50^;^21.9^
^13443^;^100^;^2.9^
^8352^;^100^;^4.9^
^8353^;^100^;^5.9^
^8344^;^63^;^2.9^
^8350^;^100^;^2.9^
^8340^;^100^;^2.9^
^8338^;^100^;^2.9^
^8339^;^100^;^2.9^
^8397^;^100^;^2.9^
^8342^;^89^;^3.9^
^8343^;^69^;^3.9^
^2828^;^1^;^180.9^
^8347^;^82^;^2.9^
^8346^;^65^;^1.9^
^8354^;^71^;^4.9^
^8355^;^100^;^4.9^
^8341^;^61^;^5.9^
^8349^;^66^;^8.9^
^8348^;^100^;^3.9^
^8244^;^10^;^45.9^
^8242^;^53^;^6.9^
^8476^;^5^;^86.9^
^8243^;^29^;^21.9^
^8265^;^45^;^4.9^
^8266^;^32^;^14.9^
^8271^;^30^;^4.9^
^8478^;^6^;^56.9^
^8272^;^70^;^13.9^
^8277^;^9^;^26.9^
^8275^;^16^;^3.9^
^13544^;^48^;^3.9^
^8479^;^12^;^51.9^
^8276^;^28^;^11.9^
^8270^;^1^;^598.9^
^8269^;^52^;^59.9^
^8114^;^100^;^17.9^
^8115^;^10^;^175.9^
^8113^;^100^;^4.9^
^13543^;^100^;^4.9^
^8258^;^32^;^31.9^
^8256^;^100^;^4.9^
^8645^;^1^;^598.9^
^8480^;^36^;^59.9^
^8257^;^98^;^17.9^
^8112^;^42^;^175.9^
^8280^;^50^;^21.9^
^8278^;^100^;^3.9^
^8477^;^5^;^42.9^
^8279^;^31^;^12.9^
^8254^;^14^;^45.9^
^8251^;^100^;^5.9^
^8255^;^1^;^925.9^
^8253^;^29^;^89.9^
^8252^;^100^;^24.9^
^8111^;^8^;^268.9^
^8523^;^60^;^3.9^
^8521^;^53^;^3.9^
^8522^;^60^;^11.9^
^8526^;^36^;^3.9^
^8528^;^1^;^50.9^
^8527^;^1^;^14.9^
^11178^;^100^;^4.9^
^11180^;^10^;^60.9^
^11179^;^72^;^14.9^
^8261^;^15^;^31.9^
^8259^;^100^;^4.9^
^8730^;^1^;^598.9^
^8481^;^21^;^59.9^
^8260^;^27^;^17.9^
^8729^;^8^;^175.9^
^8262^;^100^;^3.9^
^8727^;^1^;^503.9^
^8482^;^15^;^50.9^
^8263^;^44^;^14.9^
^8511^;^8^;^149.9^
^8248^;^40^;^3.9^
^8483^;^13^;^54.9^
^8249^;^53^;^12.9^
^11182^;^100^;^2.9^
^11184^;^9^;^38.9^
^11183^;^100^;^11.9^
^11185^;^3^;^111.9^
^8281^;^100^;^2.9^
^8284^;^0^;^376.9^
^8283^;^44^;^38.9^
^8118^;^61^;^11.9^
^8109^;^34^;^111.9^
^8529^;^47^;^3.9^
^8533^;^2^;^399.9^
^8531^;^5^;^40.9^
^8530^;^65^;^11.9^
^8532^;^4^;^118.9^
^8534^;^34^;^3.9^
^8535^;^13^;^13.9^
^8247^;^19^;^30.9^
^8245^;^75^;^4.9^
^8484^;^13^;^60.9^
^8246^;^76^;^14.9^
^8513^;^37^;^2.9^
^8515^;^0^;^353.9^
